epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,2.179443049430847,0.175,0.08596491228070176,0.175,132.7104218006134,5494.16015625
2,1.9391312003135681,0.55,0.5835353535353536,0.55,139.9655864238739,4758.9765625
3,1.3479120880365372,0.75,0.7562138188608778,0.75,133.81365990638733,4790.0078125
4,0.7164534002542495,0.85,0.843030303030303,0.85,134.48483157157898,4750.9296875
5,0.41890595480799675,0.95,0.9505050505050505,0.95,145.42570662498474,4679.37890625
