epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,2.0950462222099304,0.275,0.18055555555555552,0.275,900.6803328990936,1843.22265625
2,2.07724369764328,0.2,0.11427875243664717,0.2,634.4010179042816,1843.01953125
3,2.0224230527877807,0.25,0.12605042016806722,0.25,621.4438962936401,1846.35546875
4,1.9796440243721007,0.4,0.31650641025641024,0.4,731.9299113750458,1842.046875
5,1.9431950151920319,0.25,0.15625,0.25,706.7420494556427,1840.60546875
6,1.9527275204658507,0.275,0.1863815789473684,0.275,702.0939598083496,1843.1015625
