epoch,train_loss,val_accuracy,f1_score,recall,epoch_time,memory_usage
1,2.1875813126564028,0.15,0.0624031007751938,0.15,90.15266394615173,2904.765625
2,2.0957901179790497,0.2,0.1257985257985258,0.2,111.69948720932007,2724.9921875
3,1.9780445456504823,0.225,0.16764705882352943,0.225,109.50882315635681,2725.203125
4,1.9041518211364745,0.2,0.09784946236559139,0.2,98.89382481575012,2725.1015625
5,1.9091025710105896,0.275,0.20535714285714288,0.275,101.39147806167603,2725.29296875
